Price,Beds,SqFt,Baths,Address,City,Zip,PropertyType,YearBuilt,Community,LotSize,RedfinEstimate,PricePerSqFt,CentralAir,Fireplace,Levels,MainLevelBathrooms,MainLevelBedrooms,Spa,GarageSpaces,ParkingSpaces,Patio,Pool,CommonWalls,Latitude,Longitude,WalkInCloset,KitchenIsland,CloseToOutdoors,HighCeiling,SixtoEightRating,SixtoEightType,SixtoEightDist,NinetoTwelveRating,NinetoTwelveType,NinetoTwelveDist,KtoSixRating,KtoSixType,KtoSixDist,SeventoEightRating,SeventoEightType,SeventoEightDist,KtoFiveRating,KtoFiveType,KtoFiveDist,WalkScore,TransitScore,BikeScore
685000,3.0,1701.0,2.5,1290 N Lighthouse Ln,Anaheim,92801.0,Single Family Residence,1983.0,79 - Anaheim West of Harbor,4050.0,734680.0,403.0,Yes,Yes,Two,1.0,0.0,No,1.0,2.0,No,Community,No Common Wall,33.85116,-117.951698,No,No,No,No,,,,4.0,Public,1.5,3.0,Public,0.2,2.0,Public,0.8,,,,48.0,32.0,48.0
695000,4.0,1643.0,3.0,1048 N Hermosa Dr,Anaheim,92801.0,Single Family Residence,1954.0,79 - Anaheim West of Harbor,6100.0,763933.0,423.0,Yes,No,One,3.0,4.0,No,1.0,2.0,Yes,No,No Common Wall,33.845785,-117.93646,Yes,Yes,No,No,,,,4.0,Public,1.1,5.0,Public,0.4,1.0,Public,2.4,,,,66.0,36.0,55.0
540000,3.0,896.0,1.0,1403 W La Palma Ave,Anaheim,92801.0,Single Family Residence,1954.0,79 - Anaheim West of Harbor,5782.0,667802.0,603.0,No,No,One,1.0,3.0,No,1.0,4.0,Yes,No,No Common Wall,33.847289,-117.93742,No,No,No,No,,,,4.0,Public,1.2,2.0,Public,0.4,1.0,Public,2.5,,,,74.0,34.0,56.0
714000,4.0,2085.0,2.0,1260 W Catalpa Ave,Anaheim,92801.0,Single Family Residence,1958.0,79 - Anaheim West of Harbor,7708.0,784935.0,342.0,Yes,Yes,One,2.0,4.0,No,2.0,2.0,No,No,No Common Wall,33.843662,-117.936314,No,No,No,No,,,,4.0,Public,1.0,5.0,Public,0.2,1.0,Public,2.4,,,,64.0,36.0,56.0
760000,4.0,2375.0,3.0,2566 Lugaro W,Anaheim,92801.0,Single Family Residence,2018.0,79 - Anaheim West of Harbor,1617.0,,320.0,Yes,No,Three Or More,1.0,1.0,No,1.0,3.0,Yes,No,No Common Wall,33.837313,-117.975583,Yes,Yes,No,No,,,,,,,,,,,,,,,,72.0,34.0,59.0
665000,4.0,1313.0,2.0,1523 W Catherine Dr,Anaheim,92801.0,Single Family Residence,1955.0,79 - Anaheim West of Harbor,6000.0,700224.0,506.0,Yes,Yes,One,2.0,4.0,No,2.0,2.0,No,No,No Common Wall,33.845102,-117.939401,No,No,No,No,,,,4.0,Public,1.2,5.0,Public,0.4,1.0,Public,2.6,,,,80.0,30.0,54.0
775000,3.0,1393.0,2.5,4 Sanderling Ln,Aliso Viejo,92656.0,Single Family Residence,1989.0,AV - Aliso Viejo,3000.0,828723.0,556.0,Yes,Yes,Two,1.0,1.0,No,2.0,2.0,No,No,No Common Wall,33.59256,-117.748687,No,No,No,No,9.0,Public,3.1,9.0,Public,3.8,,,,,,,9.0,Public,4.5,9.0,,12.0
1120000,4.0,2449.0,3.0,48 Rockrose,Aliso Viejo,92656.0,Single Family Residence,1996.0,AV - Aliso Viejo,4840.0,1185903.0,457.0,Yes,Yes,Two,1.0,1.0,No,1.0,3.0,Yes,No,No Common Wall,33.581493,-117.742484,Yes,No,Yes,Yes,8.0,Public,0.6,9.0,Public,1.9,,,,,,,8.0,Public,0.6,21.0,,15.0
615900,2.0,1300.0,2.5,116 Las Flores,Aliso Viejo,92656.0,Condominium,1997.0,AV - Aliso Viejo,1000.0,660802.0,474.0,Yes,Yes,Two,1.0,0.0,No,1.0,2.0,No,Community,No Common Wall,33.554727,-117.72348,No,No,No,No,8.0,Public,2.0,9.0,Public,0.5,,,,,,,6.0,Public,0.1,48.0,18.0,47.0
1200000,5.0,3000.0,3.5,34 Chickadee Ln,Aliso Viejo,92656.0,Single Family Residence,1990.0,AV - Aliso Viejo,4150.0,1260886.0,400.0,Yes,Yes,Two,1.0,0.0,No,1.0,3.0,Yes,No,No Common Wall,33.598463,-117.741041,Yes,Yes,Yes,No,9.0,Public,3.6,9.0,Public,4.4,,,,,,,9.0,Public,3.7,8.0,,20.0
605000,3.0,1314.0,2.5,11 Acorn #72,Aliso Viejo,92656.0,Townhouse,1988.0,AV - Aliso Viejo,3759.0,635198.0,460.0,Yes,Yes,Two,1.0,0.0,Community,1.0,2.0,Yes,Community,1 Common Wall,33.590919,-117.718836,Yes,No,No,Yes,7.0,Public,0.8,9.0,Public,2.1,,,,,,,7.0,Public,1.4,30.0,20.0,35.0
437000,2.0,1000.0,2.0,177 Sandpiper Ln,Aliso Viejo,92656.0,Condominium,1990.0,AV - Aliso Viejo,,461483.0,437.0,Yes,Yes,One,2.0,2.0,Community,1.0,2.0,Yes,Community,2+ Common Walls,33.599271,-117.743322,Yes,No,Yes,No,9.0,Public,3.7,9.0,Public,4.4,,,,,,,9.0,Public,3.7,7.0,21.0,24.0
507000,2.0,1063.0,2.0,19 Indigo Pl,Aliso Viejo,92656.0,Condominium,1991.0,AV - Aliso Viejo,1200.0,555003.0,477.0,Yes,Yes,Two,0.0,0.0,No,1.0,1.5,No,Community,1 Common Wall,33.575106,-117.721657,No,No,Yes,No,8.0,Public,0.8,9.0,Public,0.9,,,,,,,6.0,Public,1.5,78.0,17.0,66.0
616000,3.0,1531.0,2.5,1 Cupertino Cir #108,Aliso Viejo,92656.0,Townhouse,2001.0,AV - Aliso Viejo,,666027.0,402.0,Yes,Yes,Three Or More,0.0,0.0,Community,1.0,2.0,Yes,Community,1 Common Wall,33.579715,-117.73281,Yes,Yes,No,Yes,8.0,Public,0.1,9.0,Public,1.4,,,,,,,8.0,Public,0.1,40.0,0.0,47.0
1325000,2.0,2437.0,2.5,6235 Greenbrier Dr,Huntington Beach,92648.0,Single Family Residence,1988.0,15 - West Huntington Beach,2944.0,1314582.0,544.0,Yes,Yes,One,2.0,2.0,Community,1.0,2.0,Yes,Community,1 Common Wall,33.678241,-118.022631,No,No,No,No,7.0,Public,1.2,9.0,Public,1.2,,,,,,,9.0,Public,0.9,1.0,19.0,46.0
1500000,4.0,3055.0,4.0,21255 LORCA Cir,Huntington Beach,92648.0,Condominium,2004.0,15 - West Huntington Beach,,1716113.0,491.0,Yes,Yes,Two,1.0,1.0,Community,1.0,2.0,Yes,Community,2+ Common Walls,33.65387,-117.989992,Yes,Yes,No,Yes,7.0,Public,1.4,9.0,Public,1.8,,,,,,,7.0,Public,0.6,57.0,35.0,80.0
1575000,4.0,2950.0,4.0,806 Geneva Ave,Huntington Beach,92648.0,Single Family Residence,2005.0,15 - West Huntington Beach,3600.0,1683029.0,534.0,Yes,Yes,Three Or More,1.0,1.0,No,1.0,2.0,Yes,No,No Common Wall,33.663873,-117.990536,Yes,Yes,No,No,7.0,Public,0.9,9.0,Public,1.2,,,,,,,7.0,Public,0.4,64.0,34.0,61.0
936000,2.0,968.0,1.5,711 Pacific Coast Hwy #423,Huntington Beach,92648.0,Condominium,1967.0,15 - West Huntington Beach,1000.0,1100486.0,967.0,No,No,Two,1.0,0.0,No,1.0,4.0,Yes,Community,2+ Common Walls,33.658606,-118.005414,No,No,Yes,No,7.0,Public,0.8,9.0,Public,1.4,,,,,,,8.0,Public,0.8,71.0,33.0,77.0
1111000,3.0,2236.0,2.5,19361 Maidstone,Huntington Beach,92648.0,Townhouse,1987.0,15 - West Huntington Beach,2040.0,1147458.0,497.0,Yes,Yes,Two,1.0,0.0,No,2.0,2.0,Yes,Community,1 Common Wall,33.680328,-118.028031,Yes,No,No,No,7.0,Public,1.5,9.0,Public,1.5,,,,,,,9.0,Public,1.1,3.0,21.0,49.0
1016000,3.0,2144.0,2.5,1906 California St,Huntington Beach,92648.0,Single Family Residence,1978.0,15 - West Huntington Beach,3240.0,1079506.0,474.0,Yes,Yes,Two,1.0,1.0,No,1.0,3.0,Yes,No,2+ Common Walls,33.674228,-117.993778,No,No,Yes,No,7.0,Public,0.7,9.0,Public,0.5,,,,,,,8.0,Public,0.7,78.0,33.0,88.0
830000,3.0,1655.0,2.5,209 Frankfort Ave,Huntington Beach,92648.0,Single Family Residence,1978.0,15 - West Huntington Beach,3125.0,1001422.0,502.0,No,Yes,Two,1.0,0.0,No,2.0,2.0,No,No,1 Common Wall,33.6624,-117.996086,No,No,No,No,7.0,Public,0.7,9.0,Public,1.2,,,,,,,8.0,Public,0.7,76.0,33.0,62.0
2000000,4.0,3038.0,3.5,6451 Glenview Cir,Huntington Beach,92648.0,Single Family Residence,1998.0,15 - West Huntington Beach,6980.0,2075362.0,658.0,Yes,Yes,Two,2.0,1.0,Private,1.0,3.0,Yes,Private,No Common Wall,33.68263,-118.015753,Yes,Yes,No,Yes,7.0,Public,1.1,9.0,Public,0.9,,,,,,,9.0,Public,0.4,16.0,21.0,53.0
1500000,3.0,2615.0,3.0,302 12th St,Huntington Beach,92648.0,Single Family Residence,1990.0,15 - West Huntington Beach,2938.0,1667140.0,574.0,Yes,Yes,Three Or More,1.0,0.0,Private,1.0,2.0,Yes,No,No Common Wall,33.663451,-118.0063,No,Yes,No,No,7.0,Public,0.4,9.0,Public,1.1,,,,,,,8.0,Public,0.5,76.0,31.0,94.0
2875000,5.0,3350.0,4.5,6776 Sicily Cir,Huntington Beach,92648.0,Single Family Residence,1993.0,15 - West Huntington Beach,6710.0,2911098.0,858.0,Yes,Yes,Two,2.0,1.0,Private,1.0,3.0,Yes,Private,No Common Wall,33.679912,-118.009669,Yes,Yes,No,Yes,7.0,Public,0.8,9.0,Public,0.5,,,,,,,9.0,Public,0.5,48.0,24.0,76.0
615000,2.0,1084.0,2.0,19351 Seahorse Ln #101,Huntington Beach,92648.0,Condominium,1988.0,15 - West Huntington Beach,,646107.0,567.0,Yes,Yes,One,2.0,2.0,Community,1.0,2.0,Yes,Community,2+ Common Walls,33.681916,-117.995772,Yes,No,No,No,7.0,Public,1.0,9.0,Public,0.4,,,,,,,6.0,Public,0.8,50.0,32.0,88.0
1060000,3.0,1512.0,2.0,7171 Little Harbor Dr,Huntington Beach,92648.0,Single Family Residence,1973.0,15 - West Huntington Beach,2700.0,1156834.0,701.0,No,Yes,One,2.0,3.0,Community,2.0,2.0,Yes,Community,1 Common Wall,33.674935,-118.006339,No,Yes,No,No,7.0,Public,0.4,9.0,Public,0.4,,,,,,,8.0,Public,0.3,56.0,25.0,86.0
2175000,4.0,2812.0,3.5,6242 Forester Dr,Huntington Beach,92648.0,Single Family Residence,1998.0,15 - West Huntington Beach,5050.0,2300936.0,773.0,No,Yes,Two,2.0,1.0,No,1.0,3.0,Yes,No,No Common Wall,33.684688,-118.019323,No,Yes,No,No,7.0,Public,1.3,9.0,Public,1.1,,,,,,,9.0,Public,0.5,5.0,19.0,43.0
1375000,3.0,1438.0,2.0,502 13th St,Huntington Beach,92648.0,Single Family Residence,1955.0,15 - West Huntington Beach,3795.0,1495752.0,956.0,Yes,No,Two,2.0,2.0,No,1.0,2.0,Yes,No,No Common Wall,33.665861,-118.005372,No,No,Yes,No,7.0,Public,0.3,9.0,Public,0.9,,,,,,,8.0,Public,0.3,76.0,30.0,92.0
1389000,3.0,2086.0,2.5,208 20th St,Huntington Beach,92648.0,Single Family Residence,1996.0,15 - West Huntington Beach,2875.0,1512277.0,666.0,Yes,Yes,Two,1.0,0.0,No,1.0,2.0,Yes,No,No Common Wall,33.667449,-118.01356,Yes,No,No,Yes,7.0,Public,0.5,9.0,Public,1.0,,,,,,,8.0,Public,0.6,59.0,25.0,87.0
535000,1.0,781.0,1.0,1200 Pacific Coast #229,Huntington Beach,92648.0,Condominium,1987.0,15 - West Huntington Beach,1000.0,532845.0,685.0,No,No,One,1.0,1.0,No,1.0,1.0,No,Community,2+ Common Walls,33.662607,-118.008343,No,No,No,No,7.0,Public,0.5,9.0,Public,1.2,,,,,,,8.0,Public,0.6,75.0,30.0,93.0
613500,2.0,1079.0,2.0,19352 Bluefish Ln #208,Huntington Beach,92648.0,Condominium,1984.0,15 - West Huntington Beach,1079.0,648501.0,569.0,Yes,Yes,One,2.0,2.0,Community,1.0,2.0,No,Community,1 Common Wall,33.682155,-117.997965,Yes,No,No,No,7.0,Public,0.9,9.0,Public,0.3,,,,,,,6.0,Public,0.9,55.0,32.0,90.0
842000,4.0,1754.0,1.5,6571 Rome Cir,Huntington Beach,92647.0,Single Family Residence,1962.0,17 - Northwest Huntington Beach,7000.0,995531.0,480.0,No,Yes,One,2.0,4.0,No,1.0,2.0,No,No,No Common Wall,33.74106,-118.014104,No,No,No,No,7.0,Public,0.6,9.0,Public,0.9,7.0,Public,0.3,,,,,,,72.0,38.0,65.0
408000,2.0,835.0,1.0,7854 Arbor Cir,Huntington Beach,92647.0,Townhouse,1972.0,17 - Northwest Huntington Beach,835.0,422484.0,489.0,Yes,No,Two,0.0,0.0,No,1.0,1.0,No,Community,1 Common Wall,33.719539,-117.991642,Yes,No,No,No,7.0,Public,1.6,5.0,Public,0.7,,,,,,,,Public,0.4,74.0,38.0,71.0
527000,2.0,1264.0,2.5,16922 Lakefront Cir #61,Huntington Beach,92647.0,Townhouse,1983.0,17 - Northwest Huntington Beach,,549469.0,417.0,Yes,Yes,Two,1.0,0.0,No,1.0,1.0,Yes,Community,2+ Common Walls,33.716911,-117.991654,No,No,No,Yes,7.0,Public,1.6,5.0,Public,0.6,,,,,,,6.0,Public,1.4,74.0,38.0,75.0
965000,4.0,1730.0,1.5,6472 Silverheel Cir,Huntington Beach,92647.0,Single Family Residence,1971.0,15 - West Huntington Beach,5120.0,1092569.0,558.0,Yes,Yes,One,2.0,4.0,No,1.0,2.0,Yes,No,No Common Wall,33.706032,-118.015361,No,Yes,No,No,8.0,Public,0.2,5.0,Public,1.0,,,,,,,8.0,Public,0.2,25.0,23.0,59.0
760000,4.0,1522.0,1.5,6001 Cortez Dr,Huntington Beach,92647.0,Single Family Residence,1966.0,15 - West Huntington Beach,6500.0,952070.0,499.0,Yes,Yes,One,2.0,4.0,No,1.0,2.0,Yes,No,No Common Wall,33.746404,-118.024159,No,Yes,No,No,7.0,Public,0.3,9.0,Public,1.1,,,,,,,8.0,Public,0.3,54.0,33.0,69.0
1150000,4.0,2294.0,2.0,6372 Silverwood Dr,Huntington Beach,92647.0,Single Family Residence,1965.0,17 - Northwest Huntington Beach,6100.0,1223198.0,501.0,Yes,Yes,Two,1.0,0.0,No,1.0,2.0,No,Private,No Common Wall,33.726517,-118.017269,No,No,Yes,No,7.0,Public,0.5,9.0,Public,0.5,,,,,,,9.0,Public,0.4,63.0,29.0,71.0
858000,4.0,1900.0,3.0,6452 Shields Dr,Huntington Beach,92647.0,Single Family Residence,1972.0,17 - Northwest Huntington Beach,5750.0,1058842.0,452.0,Yes,Yes,Two,2.0,3.0,No,2.0,2.0,No,No,No Common Wall,33.717808,-118.015987,No,No,No,No,7.0,Public,0.2,9.0,Public,1.0,,,,,,,9.0,Public,1.0,51.0,25.0,80.0
950000,4.0,1549.0,1.5,6501 Redgrove Cir,Huntington Beach,92647.0,Single Family Residence,1964.0,17 - Northwest Huntington Beach,6300.0,992908.0,613.0,Yes,No,One,2.0,4.0,No,1.0,2.0,Yes,No,No Common Wall,33.724172,-118.015132,No,No,No,No,7.0,Public,0.4,9.0,Public,0.7,,,,,,,6.0,Public,0.2,66.0,30.0,74.0
1025000,4.0,2412.0,3.0,13 Bluebell,Lake Forest,92630.0,Single Family Residence,2015.0,BK - Baker Ranch,4854.0,1096197.0,425.0,Yes,Yes,Two,1.0,1.0,Community,1.0,4.0,Yes,Community,No Common Wall,33.671389,-117.673154,Yes,No,Yes,No,,,,7.0,Public,2.5,7.0,Public,1.0,6.0,Public,2.9,,,,18.0,,34.0
879990,3.0,2308.0,3.5,532 Catalonia,Lake Forest,92630.0,Condominium,2020.0,LN - Lake Forest North,1740.0,,381.0,Yes,No,Three Or More,1.0,0.0,Community,2.0,2.0,Yes,Community,No Common Wall,33.65959,-117.681622,Yes,No,No,No,,,,,,,,,,,,,,,,67.0,,55.0
1250000,5.0,3162.0,4.0,228 Pinnacle Dr,Lake Forest,92630.0,Single Family Residence,2018.0,FH - Foothill Ranch,3619.0,1339099.0,395.0,Yes,Yes,Two,1.0,1.0,No,2.0,2.0,Yes,Community,No Common Wall,33.667905,-117.654218,No,No,Yes,No,,,,7.0,Public,2.9,8.0,Public,1.5,6.0,Public,3.5,,,,26.0,,41.0
830000,5.0,2611.0,3.0,24761 Winterwood Dr,Lake Forest,92630.0,Single Family Residence,1970.0,LS - Lake Forest South,6510.0,1012101.0,318.0,Yes,Yes,Two,1.0,1.0,Community,1.0,2.0,Yes,Community,No Common Wall,33.636533,-117.69871,No,No,No,Yes,,,,7.0,Public,0.6,3.0,Public,0.4,6.0,Public,0.2,,,,28.0,,59.0
315000,2.0,966.0,2.0,9166 Cerritos Ave #120,Stanton,92804.0,Condominium,1964.0,699 - Not Defined,1897473600.0,380777.0,326.0,No,Yes,One,2.0,2.0,No,0.0,2.0,Yes,Community,2+ Common Walls,33.809199,-117.972594,Yes,No,No,No,,,,4.0,Public,0.4,,,,2.0,Public,0.9,,,,55.0,29.0,50.0
408000,2.0,1385.0,2.0,2011 W Katella #58,Anaheim,92804.0,Condominium,1964.0,79 - Anaheim West of Harbor,,438562.0,295.0,Yes,Yes,One,2.0,2.0,Private,0.0,2.0,Yes,Community,1 Common Wall,33.80333,-117.952904,No,No,No,Yes,,,,4.0,Public,0.8,4.0,Public,0.5,1.0,Public,1.5,,,,68.0,33.0,56.0
650000,3.0,1348.0,2.0,214 S Camellia St,Anaheim,92804.0,Single Family Residence,1955.0,79 - Anaheim West of Harbor,6120.0,745520.0,482.0,Yes,Yes,One,2.0,3.0,No,1.0,2.0,Yes,No,No Common Wall,33.830942,-117.953326,No,No,No,No,,,,4.0,Public,0.9,5.0,Public,0.6,2.0,Public,0.8,,,,76.0,33.0,55.0
989000,6.0,3976.0,5.5,501 S Broadview St,Anaheim,92804.0,Single Family Residence,2016.0,79 - Anaheim West of Harbor,5076.0,1151856.0,249.0,Yes,Yes,Two,3.0,2.0,No,2.0,2.0,Yes,No,No Common Wall,33.826049,-117.948397,Yes,Yes,No,No,,,,4.0,Public,1.0,5.0,Public,0.3,1.0,Public,1.0,,,,64.0,34.0,52.0
460000,2.0,982.0,1.5,2235 Barberry Rd,Tustin,92780.0,Single Family Residence,1975.0,71 - Tustin,887.0,519458.0,468.0,Yes,No,Two,1.0,0.0,No,0.0,2.0,No,Community,2+ Common Walls,33.725851,-117.806456,No,No,No,No,5.0,Public,0.6,6.0,Public,1.0,,,,,,,,,,27.0,32.0,48.0
1225000,5.0,2200.0,4.0,17781 Arbolada Way,Tustin,92780.0,Single Family Residence,1960.0,71 - Tustin,10001.0,1187995.0,557.0,Yes,Yes,One,4.0,5.0,No,1.0,2.0,Yes,No,No Common Wall,33.757906,-117.821916,Yes,Yes,No,No,6.0,Public,0.5,9.0,Public,1.5,,,,,,,,,,74.0,34.0,51.0
695000,4.0,1218.0,2.0,1214 N Lombard Dr,Anaheim,92801.0,Single Family Residence,1955.0,79 - Anaheim West of Harbor,6100.0,731384.0,571.0,Yes,Yes,One,1.0,1.0,No,2.0,2.0,No,Private,No Common Wall,33.851329,-117.933923,No,No,No,No,,,,4.0,Public,1.3,2.0,Public,0.1,1.0,Public,2.3,,,,51.0,38.0,55.0
850000,3.0,1474.0,2.0,1951 Burnt Mill Rd,Tustin,92780.0,Single Family Residence,1957.0,71 - Tustin,7344.0,964705.0,577.0,Yes,Yes,One,2.0,3.0,No,1.0,2.0,No,No,No Common Wall,33.735991,-117.802306,No,Yes,No,No,5.0,Public,0.2,6.0,Public,0.9,,,,,,,,,,18.0,30.0,42.0
495000,4.0,1392.0,2.5,1722 Mitchell Ave #156,Tustin,92780.0,Condominium,1965.0,71 - Tustin,,514442.0,356.0,Yes,Yes,Two,1.0,0.0,No,1.0,2.0,Yes,Community,1 Common Wall,33.72794,-117.815996,No,No,No,No,5.0,Public,0.8,6.0,Public,0.6,,,,,,,,,,56.0,35.0,60.0
929000,4.0,1795.0,2.0,17351 Santa Suzanne St,Fountain Valley,92708.0,Single Family Residence,1963.0,16 - Fountain Valley / Northeast HB,7200.0,1000507.0,518.0,Yes,Yes,Two,2.0,4.0,No,1.0,2.0,Yes,No,No Common Wall,33.710664,-117.976462,No,No,No,No,10.0,Public,0.4,9.0,Public,1.0,,,,,,,9.0,Public,0.1,65.0,30.0,64.0
1290000,3.0,2690.0,2.5,17311 Flame Tree Cir,Fountain Valley,92708.0,Single Family Residence,1977.0,16 - Fountain Valley / Northeast HB,7200.0,1268692.0,480.0,Yes,Yes,Two,1.0,0.0,Private,1.0,3.0,Yes,Private,No Common Wall,33.711596,-117.957373,Yes,No,No,Yes,9.0,Public,0.8,9.0,Public,0.4,,,,,,,9.0,Public,0.4,71.0,28.0,63.0
640000,3.0,1318.0,1.5,2622 W Shadow Ln,Anaheim,92801.0,Single Family Residence,1955.0,79 - Anaheim West of Harbor,6305.0,740511.0,486.0,Yes,No,One,2.0,3.0,No,1.0,2.0,No,No,No Common Wall,33.843232,-117.978934,Yes,No,No,No,,,,4.0,Public,0.8,,,,2.0,Public,1.1,,,,53.0,38.0,46.0
632500,3.0,1372.0,1.5,10788 El Plano Ave,Fountain Valley,92708.0,Single Family Residence,1964.0,16 - Fountain Valley / Northeast HB,2250.0,680642.0,461.0,Yes,Yes,Two,1.0,3.0,No,1.0,2.0,Yes,Community,1 Common Wall,33.714949,-117.940895,No,No,Yes,No,9.0,Public,0.3,9.0,Public,1.3,,,,,,,8.0,Public,0.5,54.0,30.0,72.0
